#   t (Gyr) =  0.800
    M/MsTeff(K)    L/Ls  lg(g)  R(Gcm       D      Li         F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
  0.0500  1443.   -4.44   5.16   6.81  0.0000  0.9290      29.512      29.512      26.613      24.844      24.142      24.734      21.112      24.886      21.401      20.572      20.304      19.956      18.236      18.198      16.893      17.365      19.416      24.059      18.013
  0.0600  1716.   -4.15   5.25   6.71  0.0000  0.0000      28.616      28.616      25.710      23.677      23.317      22.788      19.416      22.516      19.851      19.064      18.515      18.386      17.212      17.346      16.330      16.712      18.592      22.064      17.281
  0.0800  2436.   -3.47   5.30   7.28  0.0000  0.0000      25.319      25.319      23.187      20.913      20.535      20.007      17.409      19.348      17.815      17.089      15.484      15.542      14.273      14.515      13.519      14.230      15.855      19.481      14.520
  0.0900  2656.   -3.24   5.27   7.98  0.0000  0.0000      22.665      22.665      20.882      19.053      18.665      18.231      16.291      17.734      16.567      15.895      14.033      14.227      13.260      13.464      12.666      13.218      14.853      18.034      13.581
  0.1000  2812.   -3.06   5.24   8.75  0.0000  0.0000      20.818      20.818      19.020      17.530      17.167      16.752      15.204      16.368      15.495      14.909      13.157      13.293      12.557      12.738      12.111      12.499      14.122      16.702      12.919
  0.2000  3260.   -2.32   5.06  15.21  0.0000  0.0000      16.625      16.625      14.547      13.680      13.400      13.042      11.948      12.635      12.201      11.828      10.712      10.706      10.369      10.469      10.110      10.276      11.643      13.025      10.674
  0.3000  3415.   -1.99   4.98  20.36  0.0000  0.0000      15.373      15.373      13.357      12.514      12.229      11.890      10.823      11.437      11.062      10.728       9.787       9.756       9.490       9.574       9.266       9.401      10.664      11.846       9.766
  0.4000  3521.   -1.72   4.89  26.01  0.0000  0.0000      14.488      14.488      12.493      11.654      11.363      11.040      10.000      10.565      10.224       9.913       9.072       9.031       8.802       8.877       8.599       8.720       9.910      10.985       9.058
  0.5000  3680.   -1.46   4.81  32.21  0.0000  0.0000      13.565      13.565      11.584      10.724      10.414      10.119       9.110       9.603       9.310       9.033       8.344       8.289       8.113       8.174       7.940       8.041       9.114      10.042       8.336
  0.6000  3968.   -1.17   4.72  38.81  0.0000  0.0000      12.474      12.474      10.523       9.626       9.284       9.037       8.080       8.478       8.243       8.012       7.553       7.487       7.380       7.421       7.245       7.324       8.200       8.933       7.541
  0.7000  4386.   -0.87   4.67  44.61  0.0000  0.0000      11.013      11.013       9.250       8.469       8.105       7.995       7.003       7.368       7.160       6.957       6.750       6.688       6.635       6.660       6.543       6.606       7.246       7.801       6.721
  0.8000  4823.   -0.60   4.62  50.36  0.0000  0.0025       9.433       9.433       7.961       7.333       7.029       6.894       6.168       6.438       6.289       6.137       6.016       5.974       5.948       5.961       5.885       5.934       6.403       6.813       5.997
  0.9000  5216.   -0.36   4.56  57.06  0.0000  0.0788       8.203       8.203       6.952       6.441       6.192       6.026       5.501       5.702       5.593       5.477       5.391       5.362       5.347       5.357       5.311       5.350       5.706       6.027       5.384
  1.0000  5586.   -0.13   4.50  64.52  0.0000  0.3060       7.190       7.190       6.105       5.688       5.480       5.316       4.921       5.072       4.990       4.901       4.840       4.822       4.813       4.822       4.802       4.831       5.098       5.353       4.841
  1.1000  5910.    0.08   4.43  73.34  0.0000  0.5740       6.377       6.377       5.384       5.035       4.854       4.708       4.400       4.512       4.450       4.382       4.340       4.330       4.326       4.334       4.333       4.355       4.552       4.759       4.346
  1.2000  6184.    0.27   4.36  83.67  0.0000  0.7700       5.712       5.712       4.760       4.461       4.301       4.175       3.933       4.013       3.968       3.915       3.889       3.884       3.887       3.892       3.906       3.922       4.062       4.231       3.900
  1.3000  6442.    0.45   4.29  94.35  0.0000  0.8800       5.156       5.156       4.208       3.949       3.804       3.698       3.513       3.565       3.534       3.497       3.484       3.486       3.494       3.497       3.523       3.534       3.621       3.757       3.499
  1.4000  6705.    0.61   4.23 104.56  0.0000  0.9380       4.679       4.679       3.713       3.486       3.354       3.267       3.140       3.162       3.145       3.124       3.125       3.133       3.148       3.148       3.185       3.194       3.225       3.329       3.145
