#   t (Gyr) =  1.000

    M/MsTeff(K)    L/Ls  lg(g)  R(Gcm       D      Li         F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
  0.0500  1383.   -4.52   5.17   6.70  0.0000  0.9230      29.819      29.819      26.947      25.202      24.398      25.428      21.893      25.684      22.124      21.287      20.989      20.504      18.665      18.475      17.031      17.634      19.643      24.677      18.200
  0.0600  1584.   -4.30   5.26   6.58  0.0000  0.0000      29.238      29.238      26.303      24.369      23.975      23.554      20.024      23.347      20.426      19.625      19.137      18.988      17.759      17.891      16.869      17.190      19.149      22.817      17.834
  0.0900  2648.   -3.25   5.28   7.93  0.0000  0.0000      22.783      22.783      20.997      19.152      18.760      18.333      16.352      17.811      16.636      15.961      14.099      14.286      13.305      13.513      12.708      13.266      14.902      18.112      13.627
  0.1000  2810.   -3.06   5.24   8.73  0.0000  0.0000      20.838      20.838      19.040      17.545      17.182      16.765      15.217      16.383      15.508      14.922      13.168      13.304      12.566      12.748      12.120      12.509      14.133      16.717      12.929
  0.2000  3261.   -2.32   5.06  15.21  0.0000  0.0000      16.625      16.625      14.546      13.680      13.399      13.042      11.947      12.635      12.200      11.827      10.711      10.706      10.369      10.469      10.109      10.276      11.643      13.025      10.674
  0.3000  3415.   -1.99   4.98  20.39  0.0000  0.0000      15.370      15.370      13.355      12.512      12.227      11.888      10.821      11.435      11.060      10.726       9.785       9.754       9.488       9.572       9.264       9.399      10.662      11.844       9.763
  0.4000  3520.   -1.72   4.89  26.08  0.0000  0.0000      14.484      14.484      12.489      11.651      11.359      11.036       9.997      10.562      10.221       9.909       9.067       9.026       8.797       8.872       8.594       8.715       9.905      10.981       9.053
  0.5000  3680.   -1.46   4.80  32.26  0.0000  0.0000      13.563      13.563      11.581      10.721      10.411      10.116       9.108       9.601       9.307       9.030       8.341       8.287       8.111       8.172       7.937       8.038       9.111      10.039       8.333
  0.6000  3967.   -1.16   4.72  38.88  0.0000  0.0000      12.472      12.472      10.521       9.624       9.282       9.035       8.078       8.476       8.241       8.010       7.551       7.484       7.377       7.419       7.242       7.321       8.198       8.931       7.539
  0.7000  4387.   -0.87   4.67  44.69  0.0000  0.0000      11.006      11.006       9.244       8.463       8.099       7.989       6.998       7.362       7.154       6.952       6.745       6.683       6.631       6.656       6.538       6.601       7.241       7.795       6.716
  0.8000  4826.   -0.60   4.62  50.45  0.0000  0.0022       9.422       9.422       7.951       7.325       7.021       6.885       6.161       6.431       6.282       6.130       6.010       5.968       5.941       5.955       5.879       5.928       6.396       6.805       5.991
  0.9000  5220.   -0.35   4.56  57.21  0.0000  0.0780       8.188       8.188       6.939       6.429       6.181       6.015       5.491       5.692       5.583       5.468       5.382       5.353       5.338       5.348       5.303       5.341       5.696       6.016       5.375
  1.0000  5592.   -0.13   4.50  64.77  0.0000  0.3060       7.171       7.171       6.088       5.672       5.465       5.301       4.908       5.058       4.977       4.888       4.827       4.809       4.800       4.809       4.790       4.819       5.085       5.339       4.828
  1.1000  5916.    0.09   4.43  73.91  0.0000  0.5740       6.352       6.352       5.360       5.012       4.832       4.686       4.379       4.491       4.429       4.361       4.320       4.310       4.306       4.314       4.313       4.335       4.531       4.737       4.326
  1.2000  6187.    0.28   4.35  84.48  0.0000  0.7700       5.688       5.688       4.736       4.438       4.278       4.152       3.910       3.990       3.945       3.892       3.866       3.862       3.865       3.870       3.884       3.899       4.039       4.208       3.878
  1.3000  6438.    0.46   4.28  95.62  0.0000  0.8800       5.132       5.132       4.182       3.922       3.778       3.672       3.486       3.539       3.507       3.470       3.457       3.459       3.467       3.470       3.495       3.507       3.594       3.731       3.472
  1.4000  6684.    0.62   4.21 106.71  0.0000  0.9380       4.657       4.657       3.689       3.459       3.327       3.239       3.108       3.132       3.114       3.091       3.092       3.099       3.114       3.114       3.150       3.159       3.194       3.301       3.112
