#   t (Gyr) =  5.000
    M/MsTeff(K)    L/Ls  lg(g)  R(Gcm       D      Li         F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
  0.0700  1627.   -4.30   5.37   6.28  0.0000  0.0000      29.115      29.115      26.201      24.256      23.817      23.498      20.016      23.377      20.422      19.620      19.146      18.998      17.717      17.847      16.795      17.148      19.098      22.812      17.774
  0.0720  1790.   -4.12   5.37   6.38  0.0000  0.0000      28.291      28.291      25.442      23.347      22.915      22.548      19.254      22.447      19.711      18.919      18.379      18.252      16.940      17.072      15.976      16.457      18.302      21.911      16.965
  0.0900  2644.   -3.25   5.28   7.90  0.0000  0.0000      22.836      22.836      21.049      19.196      18.803      18.378      16.380      17.846      16.666      15.991      14.129      14.313      13.326      13.536      12.727      13.287      14.925      18.147      13.648
  0.1000  2811.   -3.06   5.24   8.72  0.0000  0.0000      20.835      20.835      19.037      17.543      17.180      16.764      15.215      16.380      15.506      14.920      13.167      13.303      12.565      12.746      12.119      12.508      14.131      16.714      12.927
  0.2000  3262.   -2.32   5.06  15.27  0.0000  0.0000      16.606      16.606      14.529      13.664      13.383      13.026      11.933      12.619      12.186      11.813      10.698      10.693      10.356      10.456      10.097      10.264      11.629      13.009      10.661
  0.3000  3416.   -1.96   4.96  20.97  0.0000  0.0000      15.305      15.305      13.288      12.449      12.166      11.827      10.765      11.377      11.002      10.668       9.724       9.694       9.427       9.511       9.203       9.339      10.602      11.785       9.703
  0.4000  3521.   -1.71   4.88  26.47  0.0000  0.0000      14.450      14.450      12.453      11.617      11.326      11.003       9.965      10.530      10.189       9.877       9.034       8.994       8.764       8.839       8.561       8.682       9.873      10.949       9.020
  0.5000  3682.   -1.44   4.79  32.73  0.0000  0.0000      13.528      13.528      11.545      10.686      10.376      10.081       9.074       9.566       9.273       8.996       8.308       8.253       8.077       8.138       7.904       8.005       9.077      10.005       8.299
  0.6000  3984.   -1.15   4.71  39.44  0.0000  0.0000      12.403      12.403      10.452       9.554       9.210       8.966       8.014       8.407       8.175       7.947       7.498       7.432       7.328       7.369       7.195       7.274       8.139       8.862       7.486
  0.7000  4430.   -0.84   4.65  45.49  0.0000  0.0000      10.829      10.829       9.096       8.329       7.970       7.860       6.893       7.249       7.047       6.849       6.658       6.597       6.549       6.572       6.459       6.521       7.139       7.676       6.628
  0.8000  4896.   -0.55   4.59  52.05  0.0000  0.0002       9.169       9.169       7.739       7.136       6.843       6.700       6.018       6.273       6.133       5.988       5.876       5.836       5.812       5.825       5.755       5.801       6.248       6.638       5.859
  0.9000  5325.   -0.27   4.51  60.57  0.0000  0.0660       7.835       7.835       6.638       6.159       5.925       5.754       5.275       5.459       5.359       5.252       5.174       5.148       5.136       5.145       5.106       5.142       5.471       5.771       5.169
  1.0000  5732.    0.01   4.41  72.09  0.0000  0.3060       6.700       6.700       5.656       5.273       5.079       4.921       4.569       4.702       4.629       4.550       4.498       4.483       4.477       4.485       4.473       4.500       4.734       4.967       4.501
  1.1000  5971.    0.27   4.26  89.89  0.0000  0.5740       5.855       5.855       4.858       4.525       4.352       4.209       3.919       4.023       3.965       3.901       3.863       3.854       3.852       3.859       3.861       3.881       4.065       4.262       3.870
