#   t (Gyr) =  4.000
    M/MsTeff(K)    L/Ls  lg(g)  R(Gcm       D      Li         F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
  0.0700  1631.   -4.29   5.37   6.29  0.0000  0.0000      29.102      29.102      26.190      24.242      23.803      23.484      20.007      23.370      20.415      19.612      19.137      18.989      17.705      17.834      16.780      17.136      19.084      22.802      17.760
  0.0720  1790.   -4.12   5.37   6.38  0.0000  0.0000      28.289      28.289      25.441      23.344      22.913      22.545      19.252      22.444      19.709      18.917      18.377      18.250      16.936      17.069      15.972      16.454      18.298      21.908      16.961
  0.0900  2644.   -3.25   5.28   7.90  0.0000  0.0000      22.839      22.839      21.053      19.200      18.806      18.382      16.382      17.849      16.669      15.993      14.131      14.315      13.327      13.537      12.729      13.289      14.926      18.149      13.649
  0.1000  2811.   -3.06   5.24   8.72  0.0000  0.0000      20.837      20.837      19.039      17.545      17.182      16.766      15.216      16.382      15.508      14.922      13.168      13.304      12.566      12.748      12.120      12.509      14.132      16.716      12.928
  0.2000  3262.   -2.32   5.06  15.25  0.0000  0.0000      16.612      16.612      14.534      13.669      13.388      13.031      11.937      12.624      12.190      11.818      10.703      10.697      10.361      10.461      10.101      10.268      11.634      13.014      10.665
  0.3000  3416.   -1.97   4.96  20.84  0.0000  0.0000      15.319      15.319      13.302      12.463      12.180      11.840      10.777      11.389      11.015      10.680       9.737       9.707       9.440       9.524       9.216       9.352      10.615      11.798       9.716
  0.4000  3520.   -1.71   4.88  26.40  0.0000  0.0000      14.456      14.456      12.460      11.623      11.332      11.009       9.971      10.536      10.195       9.883       9.040       9.000       8.770       8.845       8.567       8.688       9.879      10.955       9.026
  0.5000  3680.   -1.45   4.79  32.65  0.0000  0.0000      13.536      13.536      11.554      10.694      10.384      10.089       9.082       9.575       9.281       9.004       8.315       8.260       8.084       8.145       7.910       8.011       9.085      10.013       8.306
  0.6000  3979.   -1.15   4.71  39.33  0.0000  0.0000      12.421      12.421      10.470       9.572       9.229       8.984       8.031       8.426       8.193       7.964       7.511       7.445       7.340       7.381       7.206       7.285       8.154       8.881       7.499
  0.7000  4418.   -0.85   4.66  45.31  0.0000  0.0000      10.876      10.876       9.134       8.364       8.004       7.893       6.919       7.278       7.074       6.875       6.680       6.619       6.569       6.593       6.479       6.541       7.165       7.707       6.650
  0.8000  4878.   -0.56   4.60  51.65  0.0000  0.0003       9.234       9.234       7.793       7.184       6.889       6.747       6.054       6.313       6.171       6.025       5.910       5.869       5.845       5.858       5.786       5.833       6.285       6.681       5.892
  0.9000  5297.   -0.29   4.53  59.62  0.0000  0.0677       7.929       7.929       6.719       6.232       5.993       5.824       5.333       5.522       5.419       5.310       5.230       5.204       5.191       5.200       5.160       5.196       5.532       5.836       5.225
  1.0000  5697.   -0.03   4.44  69.72  0.0000  0.3060       6.829       6.829       5.777       5.387       5.189       5.030       4.668       4.805       4.730       4.648       4.594       4.578       4.571       4.580       4.566       4.593       4.836       5.074       4.596
  1.1000  5996.    0.23   4.31  84.48  0.0000  0.5740       5.950       5.950       4.965       4.635       4.462       4.322       4.036       4.138       4.082       4.018       3.982       3.973       3.972       3.979       3.982       4.002       4.181       4.375       3.989
  1.2000  6053.    0.43   4.16 104.58  0.0000  0.7700       5.416       5.416       4.423       4.107       3.941       3.804       3.536       3.630       3.577       3.518       3.485       3.478       3.478       3.484       3.490       3.509       3.675       3.860       3.494
