# # Mass, Luminosity
5.000000000000000000e+00 6.999999999999999556e-01 4.000000000000000083e-02
4.000000000000000000e+00 8.000000000000000444e-01 1.300000000000000044e-01
6.000000000000000000e+00 2.000000000000000111e-01 -6.600000000000000311e-01
7.000000000000000000e+00 1.300000000000000044e-01 -9.599999999999999645e-01
3.000000000000000000e+00 6.999999999999999556e-01 4.000000000000000083e-02
2.000000000000000000e+00 8.000000000000000444e-01 1.300000000000000044e-01
0.000000000000000000e+00 8.000000000000000444e-01 1.300000000000000044e-01
1.000000000000000000e+00 6.999999999999999556e-01 4.000000000000000083e-02
1.500000000000000000e+01 2.000000000000000111e-01 -6.600000000000000311e-01
1.400000000000000000e+01 6.999999999999999556e-01 4.000000000000000083e-02
1.300000000000000000e+01 8.000000000000000167e-02 -1.310000000000000053e+00
1.200000000000000000e+01 8.000000000000000444e-01 1.300000000000000044e-01
1.000000000000000000e+01 8.000000000000000444e-01 1.300000000000000044e-01
1.100000000000000000e+01 2.999999999999999889e-01 -4.799999999999999822e-01
9.000000000000000000e+00 2.999999999999999889e-01 -4.799999999999999822e-01
8.000000000000000000e+00 2.000000000000000111e-01 -6.600000000000000311e-01
